age,d18O
7.050,-34.40
7.070,-34.95
7.090,-34.97
7.110,-34.36
7.130,-35.28
7.150,-34.74
7.170,-34.68
7.190,-34.93
7.210,-34.87
7.230,-34.12
7.250,-34.84
7.270,-34.99
7.290,-34.73
7.310,-34.64
7.330,-34.74
7.350,-34.31
7.370,-34.55
7.390,-34.62
7.410,-34.50
7.430,-34.44
7.450,-33.88
7.470,-34.77
7.490,-34.78
7.510,-35.04
7.530,-34.34
7.550,-34.52
7.570,-34.08
7.590,-34.01
7.610,-34.88
7.630,-33.90
7.650,-34.01
7.670,-34.65
7.690,-34.26
7.710,-34.09
7.730,-34.75
7.750,-34.35
7.770,-34.13
7.790,-33.76
7.810,-34.35
7.830,-34.40
7.850,-34.62
7.870,-34.98
7.890,-34.51
7.910,-34.78
7.930,-34.83
7.950,-33.60
7.970,-34.04
7.990,-34.40
8.010,-34.43
8.030,-35.05
8.050,-34.51
8.070,-34.50
8.090,-33.96
8.110,-35.44
8.130,-35.68
8.150,-35.54
8.170,-36.06
8.190,-35.88
8.210,-36.03
8.230,-35.21
8.250,-35.68
8.270,-34.50
8.290,-34.70
8.310,-34.87
8.330,-34.95
8.350,-34.41
8.370,-35.36
8.390,-34.79
8.410,-34.46
8.430,-35.07
8.450,-34.70
8.470,-34.43
8.490,-34.83
8.510,-34.99
8.530,-34.59
8.550,-34.35
8.570,-34.83
8.590,-34.18
8.610,-35.02
8.630,-35.46
8.650,-35.21
8.670,-34.01
8.690,-34.92
8.710,-34.49
8.730,-35.34
8.750,-34.22
8.770,-35.57
8.790,-35.22
8.810,-34.08
8.830,-35.15
8.850,-34.57
8.870,-34.17
8.890,-34.30
8.910,-34.71
8.930,-34.57
8.950,-34.47
8.970,-34.68
8.990,-35.57
9.010,-35.18
9.030,-34.92
9.050,-34.73
9.070,-34.61
9.090,-34.98
9.110,-34.47
9.130,-34.34
9.150,-34.70
9.170,-34.83
9.190,-34.92
9.210,-35.62
9.230,-35.66
9.250,-36.05
9.270,-35.19
9.290,-35.04
9.310,-34.91
9.330,-34.56
9.350,-34.87
9.370,-34.80
9.390,-34.83
9.410,-35.12
9.430,-35.12
9.450,-34.92
9.470,-34.66
9.490,-35.01
9.510,-34.56
9.530,-34.98
9.550,-35.13
9.570,-34.95
9.590,-34.77
9.610,-34.96
9.630,-34.85
9.650,-34.84
9.670,-34.62
9.690,-34.68
9.710,-34.87
9.730,-34.66
9.750,-34.49
9.770,-35.12
9.790,-35.37
9.810,-35.22
9.830,-34.54
9.850,-35.06
9.870,-35.26
9.890,-34.85
9.910,-35.46
9.930,-34.65
9.950,-35.10
9.970,-34.94
9.990,-35.11
10.010,-35.79
10.030,-35.21
10.050,-35.32
10.070,-35.29
10.090,-35.45
10.110,-34.99
10.130,-35.02
10.150,-34.89
10.170,-35.93
10.190,-35.54
10.210,-36.33
10.230,-36.39
10.250,-36.01
10.270,-36.01
10.290,-35.20
10.310,-36.12
10.330,-36.18
10.350,-36.36
10.370,-35.96
10.390,-36.12
10.410,-36.04
10.430,-35.53
10.450,-36.34
10.470,-35.46
10.490,-35.73
10.510,-35.86
10.530,-35.99
10.550,-35.89
10.570,-36.12
10.590,-36.13
10.610,-36.16
10.630,-35.50
10.650,-35.77
10.670,-36.05
10.690,-36.45
10.710,-35.88
10.730,-36.22
10.750,-36.83
10.770,-35.84
10.790,-36.59
10.810,-36.09
10.830,-37.23
10.850,-37.60
10.870,-37.25
10.890,-37.15
10.910,-37.00
10.930,-38.01
10.950,-36.53
10.970,-37.05
10.990,-36.44
11.010,-36.64
11.030,-36.89
11.050,-37.11
11.070,-36.71
11.090,-36.43
11.110,-37.13
11.130,-36.62
11.150,-37.25
11.170,-37.39
11.190,-37.60
11.210,-36.57
11.230,-36.16
11.250,-36.58
11.270,-37.54
11.290,-36.67
11.310,-36.91
11.330,-37.45
11.350,-37.63
11.370,-37.11
11.390,-38.46
11.410,-38.26
11.430,-38.72
11.450,-37.41
11.470,-37.84
11.490,-36.90
11.510,-36.60
11.530,-36.87
11.550,-36.78
11.570,-36.41
11.590,-36.57
11.610,-36.68
11.630,-38.49
11.650,-39.04
11.670,-39.60
11.690,-39.72
11.710,-40.85
11.730,-40.55
11.750,-39.87
11.770,-40.45
11.790,-40.97
11.810,-39.17
11.830,-38.93
11.850,-41.52
11.870,-39.73
11.890,-41.94
11.910,-40.34
11.930,-41.54
11.950,-40.54
11.970,-39.60
11.990,-40.17
12.010,-39.32
12.030,-40.77
12.050,-40.74
12.070,-41.89
12.090,-40.61
12.110,-41.76
12.130,-42.09
12.150,-38.91
12.170,-41.40
12.190,-40.90
12.210,-39.90
12.230,-40.71
12.250,-41.01
12.270,-40.41
12.290,-40.95
12.310,-41.73
12.330,-41.17
12.350,-40.73
12.370,-41.21
12.390,-41.05
12.410,-41.39
12.430,-40.02
12.450,-41.91
12.470,-40.62
12.490,-39.09
12.510,-40.95
12.530,-40.54
12.550,-41.43
12.570,-42.71
12.590,-40.59
12.610,-41.82
12.630,-40.92
12.650,-42.27
12.670,-41.82
12.690,-41.95
12.710,-41.06
12.730,-39.86
12.750,-40.17
12.770,-40.36
12.790,-39.88
12.810,-38.98
12.830,-39.81
12.850,-40.11
12.870,-39.42
12.890,-37.79
12.910,-38.25
12.930,-39.11
12.950,-38.96
12.970,-39.87
12.990,-39.55
13.010,-39.49
13.030,-40.52
13.050,-39.77
13.070,-40.57
13.090,-40.17
13.110,-41.51
13.130,-40.08
13.150,-40.53
13.170,-40.10
13.190,-40.58
13.210,-39.45
13.230,-39.30
13.250,-38.97
13.270,-39.03
13.290,-39.35
13.310,-39.07
13.330,-38.56
13.350,-38.36
13.370,-38.76
13.390,-38.14
13.410,-38.56
13.430,-38.79
13.450,-38.33
13.470,-37.74
13.490,-38.08
13.510,-38.29
13.530,-38.99
13.550,-39.36
13.570,-39.64
13.590,-40.05
13.610,-39.21
13.630,-39.09
13.650,-38.67
13.670,-38.93
13.690,-37.66
13.710,-38.45
13.730,-39.42
13.750,-38.81
13.770,-37.86
13.790,-39.05
13.810,-37.96
13.830,-38.00
13.850,-38.43
13.870,-38.21
13.890,-38.61
13.910,-38.03
13.930,-39.99
13.950,-39.03
13.970,-39.73
13.990,-40.21
14.010,-39.90
14.030,-40.94
14.050,-38.05
14.070,-38.34
14.090,-38.01
14.110,-38.68
14.130,-38.04
14.150,-37.59
14.170,-37.46
14.190,-38.42
14.210,-37.76
14.230,-37.19
14.250,-37.13
14.270,-37.05
14.290,-37.54
14.310,-36.81
14.330,-37.49
14.350,-36.07
14.370,-37.17
14.390,-37.29
14.410,-37.04
14.430,-36.86
14.450,-36.26
14.470,-36.11
14.490,-36.14
14.510,-36.14
14.530,-36.98
14.550,-35.81
14.570,-36.74
14.590,-37.48
14.610,-37.52
14.630,-37.97
14.650,-40.64
14.670,-41.96
14.690,-42.47
14.710,-40.81
14.730,-41.03
14.750,-39.92
14.770,-40.68
14.790,-42.44
14.810,-40.78
14.830,-41.18
14.850,-40.14
14.870,-41.47
14.890,-41.76
14.910,-41.65
14.930,-40.88
14.950,-42.61
14.970,-42.37
14.990,-41.54
15.010,-43.17
15.030,-39.98
15.050,-43.51
15.070,-42.76
15.090,-40.12
15.110,-42.26
15.130,-42.99
15.150,-42.08
15.170,-40.57
15.190,-43.57
15.210,-40.55
15.230,-44.91
15.250,-41.99
15.270,-41.29
15.290,-42.08
15.310,-40.75
15.330,-40.66
15.350,-40.04
15.370,-43.26
15.390,-42.38
15.410,-42.89
