depth,age,eNd,error
4,0.29,-13.63,0.84
4,0.29,-13.83,0.58
4,0.29,-13.83,0.39
18,1.64,-14.9,0.34
62,5.89,-14.78,0.34
82,8.53,-16.15,0.45
106,11.5,-14.63,0.39
112,12.05,-12.59,0.39
116,12.43,-11.73,0.58
120,12.83,-13.31,0.45
124,13.22,-13.17,0.58
142,14.3,-13.61,0.45
178,14.61,-10.86,0.45
190,14.99,-11.13,0.39
200,15.31,-10.82,0.39
230,16.21,-10.68,0.39
246,16.68,-10.61,0.39
298,17.41,-11.23,0.45
302,17.69,-10.33,0.45
364,18.52,-10.71,0.39
422,19.22,-10.66,0.45
455,19.81,-10.35,0.45
